SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
153,Nathan Fernandes,br BRA,FW,MF,Botafogo (RJ),20-143,2005,1.7,4,2.4,3,0,1,0,0,0,2,1.2,2,0,0,0,0,0
154,Fernandinho,br BRA,FW,CearÃ¡,27-355,1997,1.3,2,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,Fernando,br BRA,MF,DF,Internacional,37-349,1987,4.6,6,1.31,5,0,0,1,0,0,1,0.22,1,0,0,0,0,0
156,Nahuel Ferraresi,ve VEN,DF,SÃ£o Paulo,26-232,1998,7.2,15,2.08,14,1,0,0,0,0,0,0,0,0,0,0,0,0,
157,Ferreira,br BRA,FW,MF,SÃ£o Paulo,27-190,1997,6.1,27,4.43,18,1,3,1,4,0,4,0.66,3,0,0,1,0,0
158,Bruno Ferreira,br BRA,GK,CearÃ¡,31-115,1994,3.7,2,0.54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
159,Lucas Ferreira,br BRA,FW,SÃ£o Paulo,19-072,2006,8.4,33,3.94,24,1,0,1,5,2,2,0.24,1,0,0,0,1,0,
160,Luiz Filipe,br BRA,FW,Mirassol,24-042,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,AndrÃ© Filipinho,br BRA,DF,Juventude,28-177,1997,3.4,8,2.38,6,1,0,0,0,1,1,0.3,1,0,0,0,0,0,
162,CaÃ­que FranÃ§a,br BRA,GK,Sport Recife,30-036,1995,11,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,Ryan Francisco,br BRA,FW,MF,SÃ£o Paulo,18-230,2006,2.2,5,2.31,4,0,1,0,0,0,2,0.92,1,0,1,0,0,0
164,Alan Franco,ec ECU,MF,AtlÃ©tico Mineiro,26-322,1998,7.5,13,1.73,12,0,0,0,0,1,0,0,0,0,0,0,0,0,
165,Alan Franco,ar ARG,DF,SÃ£o Paulo,28-271,1996,8,6,0.75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
